# id	M200c	r200c	M500c	r500c	x	y	z
43	343380722712576.0	1476.5484619140625	263668780498944.0	996.2138061523438	44354.41796875	89083.484375	83924.3515625
44	332506201063424.0	1460.759765625	233200970366976.0	956.30078125	171087.234375	30875.896484375	157500.625
45	305942902079488.0	1420.81982421875	190202928693248.0	893.4742431640625	83247.71875	35559.90234375	14700.3828125
46	176415714574336.0	1182.5810546875	122857514336256.0	772.3643798828125	167863.78125	182064.25	35294.30859375
47	183143579516928.0	1197.4163818359375	114926110638080.0	755.350830078125	128947.171875	41772.9765625	37307.47265625
48	324151516594176.0	1448.447265625	245274928742400.0	972.5005493164062	55978.16015625	49242.76953125	3210.376220703125
49	324038740148224.0	1448.276611328125	232192508690432.0	954.8838500976562	196115.140625	150869.046875	185455.828125
50	338210588721152.0	1469.1153564453125	229017118572544.0	950.5061645507812	158597.921875	102958.1171875	46915.43359375
51	316146536415232.0	1436.4351806640625	213235512901632.0	928.1975708007812	54637.5390625	141321.828125	81528.6015625
52	275655178584064.0	1372.2662353515625	156244367114240.0	836.7750854492188	3075.4645996	96190.7265625	186318.125
53	184230525009920.0	1199.7969970703125	120506623721472.0	767.3933715820312	27632.716796875	53806.53515625	187199.234375
54	314248664186880.0	1433.566650390625	235061848834048.0	958.7941284179688	18556.744140625	142322.34375	99867.546875
55	242969403719680.0	1315.7403564453125	142242337521664.0	810.9822387695312	83479.4140625	18212.1484375	143792.890625
56	296168328265728.0	1405.4901123046875	219863335305216.0	937.6827392578125	104653.359375	88591.9765625	106448.765625
57	301115828600832.0	1413.30712890625	212932096950272.0	927.7496948242188	100474.8046875	1191.058227539	34754.50390625
58	279208861368320.0	1378.140380859375	215185629380608.0	931.0103149414062	50534.9609375	34507.94921875	172736.34375
59	213580418908160.0	1260.42431640625	136379312898048.0	799.7081298828125	48669.33984375	53984.0390625	62114.90234375
60	290497797029888.0	1396.4622802734375	208384146014208.0	921.0819702148438	165015.484375	91068.859375	6079.63720703125
61	255725188153344.0	1338.4049072265625	143954586632192.0	814.2174682617188	151193.015625	19912.205078125	76366.1796875
62	174374598475776.0	1178.017578125	97642835083264.0	715.4142456054688	2908.3610839843	6838.528808593	41701.47265625
63	282241997471744.0	1383.081787109375	184857456017408.0	885.01904296875	143189.375	20083.201171875	143606.125
64	279798244966400.0	1379.1658935546875	199012711923712.0	907.0476684570312	54489.3046875	187976.34375	66857.71875
65	227894857039872.0	1287.95068359375	138037799419904.0	802.9322509765625	20667.572265625	103816.9296875	185520.40625
66	243409721753600.0	1316.55859375	160734034001920.0	844.7026977539062	25034.451171875	101893.96875	141322.0625
67	278848855867392.0	1377.5916748046875	210591121670144.0	924.3168334960938	149258.1875	179401.140625	86810.4609375
68	276792942264320.0	1374.1556396484375	204376438210560.0	915.1489868164062	63857.20703125	46401.60546875	29458.9296875
69	269337868894208.0	1361.75048828125	200944172138496.0	909.9907836914062	177823.6875	83638.6953125	203494.75
70	258570536878080.0	1343.3756103515625	188719873130496.0	891.1260986328125	128195.875	93773.0390625	49697.21875
71	276122960920576.0	1373.0201416015625	180566599139328.0	878.1297607421875	151315.484375	130136.234375	155957.359375
72	275153237835776.0	1371.488037109375	195343719333888.0	901.4454956054688	146289.109375	21144.982421875	117567.46875
73	205733010341888.0	1244.7606201171875	136111800188928.0	799.1577758789062	93016.171875	76204.25	36124.296875
74	205864174616576.0	1245.0467529296875	120291640475648.0	766.9285278320312	170407.40625	53590.94921875	167685.65625
75	134628685905920.0	1080.70849609375	100501790130176.0	722.3425903320312	45604.31640625	189093.890625	83588.828125
76	236042040901632.0	1303.1275634765625	169093583863808.0	859.0979614257812	167184.09375	34647.0859375	159740.8125
77	230889556541440.0	1293.582763671875	159804978888704.0	843.1068115234375	69205.453125	106051.53125	61134.484375
78	260628933509120.0	1346.8365478515625	186276389060608.0	887.2866821289062	149220.609375	52815.15234375	157938.5
79	253893451710464.0	1335.1268310546875	199746681569280.0	908.1758422851562	170001.890625	68242.1328125	167608.625
80	193627108147200.0	1219.8837890625	150482953699328.0	826.3497924804688	56209.88671875	137137.875	53989.95703125
81	272367582445568.0	1366.7646484375	177646340145152.0	873.3651733398438	59779.36328125	29560.66015625	58102.0859375
82	135533791543296.0	1083.1033935546875	103951881994240.0	730.47705078125	70544.8046875	13913.201171875	109478.1796875
83	128114512363520.0	1062.9605712890625	59879028948992.0	607.8101806640625	33487.14453125	72937.1953125	202982.90625
84	158344471904256.0	1140.7332763671875	118043418034176.0	762.1359252929688	140374.140625	49210.92578125	157776.828125
85	123098057670656.0	1048.916015625	87168080936960.0	688.8475952148438	123138.6640625	35117.07421875	131929.125
86	192014666694656.0	1216.478271484375	108634520420352.0	741.3229370117188	186655.484375	107818.9375	193357.234375
87	78567408926720.0	903.099853515625	53285654364160.0	584.6356201171875	41641.734375	169464.578125	49379.91015625
88	223381030961152.0	1279.345458984375	166164885929984.0	854.13818359375	83951.3046875	76402.3046875	49372.859375
89	103673405374464.0	990.5506591796875	65244806250496.0	625.4390869140625	47248.421875	108135.046875	174744.84375
90	239398222299136.0	1309.2813720703125	164193495941120.0	850.7254028320312	50687.5390625	39578.015625	163646.359375
91	164138567335936.0	1154.4774169921875	125437539778560.0	777.7135620117188	157881.828125	113959.5	187582.265625
92	207364997251072.0	1248.074951171875	146268617703424.0	818.5955200195312	147173.921875	27765.345703125	111933.9140625
93	235066697449472.0	1301.3389892578125	172167840923648.0	864.286132812	182424.3125	61325.5234375	173782.34375
94	141371298021376.0	1098.4554443359375	88130933751808.0	691.3937377929688	35889.5859375	101786.328125	163610.9375
95	183994033373184.0	1199.293212890625	129987151659008.0	786.996337890625	60367.37109375	202000.96875	74988.546875
96	214734724923392.0	1262.6502685546875	140163019702272.0	807.0143432617188	23361.66796875	177172.859375	17812.03125
97	228157068148736.0	1288.486083984375	161663441436672.0	846.3645629882812	69683.171875	169043.625	197843.84375
98	228585860235264.0	1289.2333984375	132448679624704.0	791.9347534179688	150974.921875	173051.296875	69786.8203125
99	137743803875328.0	1088.9649658203125	99151970828288.0	719.0687255859375	151373.890625	61251.88671875	145374.8125
100	179395750789120.0	1189.22412109375	101989929189376.0	725.8701782226562	59953.62890625	130849.1953125	78068.078125
101	121944716345344.0	1045.6156005859375	68253661528064.0	634.9114990234375	70636.265625	144264.6875	107462.015625
102	98802778243072.0	974.775634765625	67182541144064.0	631.5703125	22880.146484375	20919.720703125	139477.46875
103	124328607744000.0	1052.410888671875	87849688891392.0	690.6417846679688	58436.62109375	31380.193359375	52549.15234375
104	157096716795904.0	1137.731689453125	101793618984960.0	725.407958984375	178228.96875	190479.796875	136313.390625
105	137608084586496.0	1088.6072998046875	99735222353920.0	720.4874267578125	192539.859375	143333.203125	182762.078125
106	201667337256960.0	1236.5362548828125	140216413192192.0	807.12158203125	63332.90234375	19554.75	123801.4921875
107	187167024349184.0	1206.1336669921875	121078433185792.0	768.583984375	146736.90625	88032.609375	8103.20703125
108	199525524307968.0	1232.1302490234375	137854189568000.0	802.5484008789062	166937.25	54950.9921875	64799.640625
109	188158054498304.0	1208.265380859375	129906218369024.0	786.8189697265625	198044.15625	146632.890625	171025.546875
110	164342309847040.0	1154.9666748046875	114738574917632.0	754.9189453125	41347.84765625	136140.671875	168850.4375
111	180591530082304.0	1191.8524169921875	123363397730304.0	773.4217529296875	32928.2734375	108266.4296875	138095.875
112	152773211455488.0	1127.192626953125	96551594622976.0	712.7413940429688	151313.125	157300.140625	166020.625
113	200451358195712.0	1234.070556640625	141270450176000.0	809.1348266601562	39849.81640625	154014.03125	75852.328125
114	179024269672448.0	1188.4071044921875	114051237543936.0	753.4142456054688	183947.046875	112769.3671875	12603.9267578125
115	127064946507776.0	1060.08251953125	88536950767616.0	692.4318237304688	96437.6171875	29103.99609375	14071.640625
116	198077717676032.0	1229.156005859375	136482543108096.0	799.9169311523438	190140.40625	188666.375	86763.875
117	221948206383104.0	1276.6707763671875	166128613588992.0	854.0473022460938	160855.046875	100953.359375	171860.109375
118	192892568076288.0	1218.350341796875	116917373239296.0	759.6903686523438	183033.46875	189465.859375	166553.390625
119	170198598418432.0	1168.5472412109375	127421059694592.0	781.7760009765625	100867.84375	114418.2578125	20959.734375
120	203439883681792.0	1240.1031494140625	154894925299712.0	834.37158203125	103281.3046875	6065.6748046875	31713.892578125
121	166784552402944.0	1160.662841796875	118022664617984.0	762.0864868164062	186459.390625	6970.02001953	1760.1639404296875
122	201308741042176.0	1235.8070068359375	146073934888960.0	818.1990966796875	85058.125	160069.6875	9552.49609375
124	178725417123840.0	1187.7158203125	115239525810176.0	756.0358276367188	61185.8984375	16435.78125	6926.16650390625
125	135592662794240.0	1083.25	91197431349248.0	699.303466796875	41624.375	77994.5625	160886.078125
126	188105843802112.0	1208.18408203125	109294024392704.0	742.7943725585938	129112.3671875	56686.7421875	5803.0068359375
127	201790498799616.0	1236.76318359375	147368347435008.0	820.6375122070312	87037.296875	154656.6875	61007.10546875
128	167641163497472.0	1162.6390380859375	128931705389056.0	784.877685546875	56142.46875	137164.015625	32963.68359375
129	112128929300480.0	1016.769287109375	72520094973952.0	647.8901977539062	184857.84375	106824.9765625	196653.859375
130	164261326225408.0	1154.7935791015625	115404731056128.0	756.3987426757812	137170.71875	56458.65234375	13407.05859375
131	185050360446976.0	1201.5927734375	118536861122560.0	763.1801147460938	136821.296875	44677.77734375	150840.734375
132	179053478805504.0	1188.441162109375	130362139213824.0	787.74755859375	4558.76318359	3464.7265625	143219.484375
133	198890708008960.0	1230.827880859375	146052476829696.0	818.163330078125	95018.03125	115087.8125	201071.5625
134	174660482236416.0	1178.66162109375	131248580198400.0	789.5354614257812	126721.328125	80859.0234375	8974.587890625
135	163210233643008.0	1152.330322265625	106812019834880.0	737.1311645507812	77714.8984375	39427.8125	15931.1396484375
136	127507051315200.0	1061.2764892578125	79142397673472.0	667.03515625	64677.12890625	13821.853515625	109548.515625
137	173721042026496.0	1176.5279541015625	108525149749248.0	741.059814453125	77081.0390625	46363.23046875	131915.453125
138	156064733462528.0	1135.268798828125	103269787500544.0	728.9013061523438	19592.9453125	196055.375	57408.9921875
139	146933045788672.0	1112.66162109375	89298653151232.0	694.4385986328125	125166.2734375	50621.8046875	26270.376953125
140	160620351586304.0	1146.2060546875	116790378102784.0	759.4067993164062	97611.8359375	16122.697265625	130224.0625
141	114362085801984.0	1023.4852294921875	43461046697984.0	546.22998046875	7148.95068359	2919.4807128906	151215.265625
142	146151143636992.0	1110.6693115234375	94568519303168.0	707.8349609375	84796.5859375	200685.578125	46271.55078125
143	90142035410944.0	945.4473876953125	55855672197120.0	593.88916015625	101175.4921875	46110.328125	127259.6328125
144	177805841137664.0	1185.675537109375	124291110666240.0	775.3335571289062	29118.400390625	17936.560546875	136300.34375
145	155587975315456.0	1134.0859375	111425024425984.0	747.58984375	79283.5625	179194.609375	55322.3125
146	167491024191488.0	1162.3470458984375	128217843236864.0	783.4257202148438	189255.578125	11962.22265625	108339.9921875
147	187930807107584.0	1207.7779541015625	139920630874112.0	806.5443725585938	127364.0078125	179067.65625	71874.953125
148	122913483128832.0	1048.3677978515625	85856454967296.0	685.3667602539062	135257.375	133112.171875	77186.4375
149	134479007973376.0	1080.279541015625	98129877663744.0	716.6080322265625	51149.93359375	63752.0625	203879.59375
151	177005769261056.0	1183.9127197265625	134799293415424.0	796.5931396484375	177980.71875	52959.64453125	54911.609375
152	163909508005888.0	1153.9912109375	106841992331264.0	737.1978149414062	90900.78125	22081.017578125	127644.4765625
153	140163564961792.0	1095.319091796875	91344391372800.0	699.6696166992188	160629.953125	188326.453125	153441.71875
154	187111844085760.0	1205.9847412109375	115448964186112.0	756.50439453125	186298.625	109865.1796875	200221.25
155	178474010542080.0	1187.20458984375	134396011085824.0	795.7796020507812	49525.46875	107135.1875	133139.4375
156	170201618317312.0	1168.5264892578125	138647852548096.0	804.1015014648438	100924.4375	147628.484375	136470.078125
157	111486940741632.0	1014.8366088867188	74490637713408.0	653.7094116210938	167827.09375	122848.5546875	159546.203125
158	176244922515456.0	1182.21923828125	119845853069312.0	765.9741821289062	187148.453125	135900.765625	191712.171875
159	169744321740800.0	1167.4796142578125	113599972376576.0	752.4205322265625	62119.7421875	180899.953125	54583.9765625
160	171195450261504.0	1170.839599609375	134872660180992.0	796.7371215820312	7232.49658203	201690.796875	3175.257080078125
161	170170278477824.0	1168.436279296875	118962624921600.0	764.0905151367188	123277.8046875	57171.58984375	26276.271484375
162	137401439617024.0	1088.075439453125	98084000366592.0	716.504150390625	182111.015625	40945.9296875	86075.078125
163	176176588914688.0	1182.017578125	115096013504512.0	755.70556640625	129259.3046875	147694.5625	138006.90625
164	162742719741952.0	1151.173828125	120397487931392.0	767.1412963867188	69979.1328125	143633.078125	134642.390625
165	82350293647360.0	917.3553466796875	54606239367168.0	589.4287719726562	103420.640625	8558.578125	115954.9765625
166	154801711087616.0	1132.1978759765625	109709000441856.0	743.7346801757812	125395.2578125	52845.2421875	23142.69921875
167	163859293798400.0	1153.809326171875	118682202144768.0	763.4804077148438	92443.296875	72217.4296875	32512.3203125
168	173127850000384.0	1175.2130126953125	132221155409920.0	791.5046997070312	171938.46875	27947.248046875	159454.984375
169	152895567691776.0	1127.5352783203125	102860809306112.0	727.952880859375	84309.046875	127382.390625	194504.140625
170	86061992640512.0	930.9360961914062	52339163529216.0	581.1338500976562	51408.15234375	189586.5625	68068.390625
171	183455803506688.0	1198.0885009765625	152271170043904.0	829.6151733398438	203274.609375	70272.9765625	87507.984375
172	112941214990336.0	1019.2184448242188	57308755263488.0	598.972412109375	180114.515625	82275.953125	7640.81396484375
173	74599580565504.0	887.6270751953125	37484943638528.0	519.943603515625	43961.421875	190370.75	4758.73486328125
174	128181143076864.0	1063.174072265625	79746335506432.0	668.7334594726562	202086.546875	194971.59375	103608.375
175	148736479068160.0	1117.2098388671875	101101835649024.0	723.7764282226562	89657.6796875	1746.0809326172	51102.3828125
176	137337300320256.0	1087.9007568359375	53709182599168.0	586.1564331054688	144366.09375	132181.03125	71561.4765625
177	92565445541888.0	953.8270263671875	64948419952640.0	624.5107421875	185020.53125	52361.6328125	55864.14453125
178	91614747820032.0	950.5693969726562	62056925495296.0	615.090576171875	85725.8125	133138.09375	180277.328125
179	150488372740096.0	1121.548583984375	102430188503040.0	726.9029541015625	79300.25	108029.9609375	89864.203125
180	142675005145088.0	1101.7987060546875	85320271921152.0	683.9487915039062	161335.890625	44667.09765625	79674.1640625
181	117365014528000.0	1032.35546875	73805582041088.0	651.6930541992188	48774.71875	130962.765625	111003.5625
182	156103639826432.0	1135.36083984375	112404788674560.0	749.7743530273438	113030.0625	145940.1875	73359.171875
183	182627713679360.0	1196.3116455078125	105311247532032.0	733.6731567382812	59295.609375	92875.8828125	103435.984375
184	107746024226816.0	1003.3673706054688	79804116238336.0	668.884033203125	197961.734375	51135.9140625	47694.15234375
185	136576881393664.0	1085.889404296875	67131072839680.0	631.4148559570312	96751.1953125	152923.453125	155357.109375
186	144609837580288.0	1106.7813720703125	95934125965312.0	711.2178344726562	158033.0	147462.3125	4074.271484375
187	118919146766336.0	1036.8955078125	74097505599488.0	652.5421752929688	51759.5546875	89894.8046875	127143.078125
188	164069612978176.0	1154.33154296875	113483295227904.0	752.1792602539062	78811.328125	194854.46875	123688.2578125
189	142160531816448.0	1100.4996337890625	106102519758848.0	735.49853515625	59295.078125	128704.1796875	71461.4765625
190	106295365468160.0	998.8255004882812	79908747345920.0	669.1608276367188	46570.69921875	108662.3125	183955.03125
191	156477503307776.0	1136.2099609375	111619740794880.0	748.0423583984375	148943.34375	132988.421875	60789.3359375
192	129208068079616.0	1066.000244140625	87568595025920.0	689.9089965820312	200121.15625	106692.359375	25316.5078125
193	98666782130176.0	974.3643798828125	73131372838912.0	649.712158203125	660.40570068	147612.0	153967.703125
194	118452362674176.0	1035.53564453125	81261511049216.0	672.9398803710938	98681.34375	81030.5390625	59110.5546875
195	148659874299904.0	1116.9971923828125	104809550053376.0	732.5001220703125	127559.78125	103861.6015625	83861.6171875
196	138183509540864.0	1090.0811767578125	87159465836544.0	688.8155517578125	134134.078125	26642.548828125	142659.09375
197	138800206446592.0	1091.766357421875	103545965641728.0	729.5648193359375	9570.19140625	172565.09375	83091.828125
198	133830543409152.0	1078.5673828125	87915388469248.0	690.8242797851562	22286.49609375	7717.306640625	200508.53125
199	122852950933504.0	1048.2047119140625	87185420189696.0	688.8944702148438	55977.578125	89408.8203125	10347.4794921875
200	117471507906560.0	1032.6883544921875	73850570145792.0	651.8238525390625	162877.875	50919.66015625	160444.96875
201	151025663082496.0	1122.8837890625	107943315898368.0	739.739990234375	148025.109375	65606.65625	78567.09375
202	158652518367232.0	1141.4630126953125	121382293733376.0	769.2560424804688	12116.705078125	95859.515625	193298.484375
203	165268915486720.0	1157.12744140625	106121637396480.0	735.5576782226562	118999.5625	36327.20703125	168512.46875
204	106813580115968.0	1000.442626953125	79602647040000.0	668.3067016601562	38302.1015625	84176.6640625	158186.90625
205	93913033474048.0	958.427734375	64360726659072.0	622.6024780273438	151377.6875	48790.9140625	153332.203125
206	115317153988608.0	1026.3243408203125	77106994216960.0	661.2554321289062	93810.140625	142280.640625	37114.078125
207	96327551680512.0	966.5988159179688	69888429260800.0	639.9457397460938	191686.84375	30434.98828125	42398.7265625
209	136998895484928.0	1087.01708984375	96292579573760.0	712.0928344726562	6359.7919921875	114417.53125	192920.578125
210	129193656451072.0	1065.9365234375	95263851020288.0	709.5520629882812	48930.375	88886.3046875	200686.65625
211	129321414950912.0	1066.3094482421875	90781381558272.0	698.24267578125	161826.890625	99515.5390625	36916.80078125
212	80945520574464.0	912.1251831054688	57564767191040.0	599.8919067382812	161499.015625	89814.7109375	186042.859375
213	116116789657600.0	1028.6953125	72134713933824.0	646.72021484375	69240.6015625	82575.7734375	122667.4921875
214	138947200024576.0	1092.124755859375	96117693874176.0	711.6716918945312	48168.7734375	184974.796875	66772.0625
215	116181465825280.0	1028.890625	69706992058368.0	639.3963623046875	6503.2265625	106030.8203125	17114.6328125
216	127733065580544.0	1061.876220703125	84373676228608.0	681.4240112304688	198728.296875	56876.78515625	107177.8203125
217	144810090430464.0	1107.2447509765625	106057749757952.0	735.4096069335938	115921.0	93695.6796875	89740.8046875
218	121661835706368.0	1044.8050537109375	71038540972032.0	643.4301147460938	169417.390625	53710.0546875	62751.62109375
220	128017598775296.0	1062.72314453125	89813151645696.0	695.74169921875	162712.203125	38109.0078125	184838.296875
221	122974577360896.0	1048.5535888671875	88205567197184.0	691.5801391601562	185251.4375	73195.2890625	174848.375
222	126042232586240.0	1057.20166015625	78453927837696.0	665.0956420898438	31529.79296875	92648.78125	8534.419921875
223	131011845292032.0	1070.9189453125	93111032217600.0	704.1755981445312	46921.50390625	21378.939453125	52368.7265625
224	122311776665600.0	1046.68212890625	84066787393536.0	680.6012573242188	100161.0	117437.59375	84095.2109375
225	128242103091200.0	1063.3497314453125	90352262316032.0	697.1458129882812	69672.921875	98949.3046875	157154.75
226	114129838800896.0	1022.811279296875	84503112450048.0	681.77783203125	937.101989746	200660.078125	200633.546875
227	121109320040448.0	1043.24462890625	80760660819968.0	671.5591430664062	72133.5078125	51989.1796875	43344.515625
228	104807805222912.0	994.1648559570312	75432997158912.0	656.4542846679688	146831.65625	60936.14453125	160673.0625
229	144828495036416.0	1107.330810546875	116020773650432.0	757.761474609375	157185.65625	128151.21875	13789.810546875
230	134836362674176.0	1081.2115478515625	83012666523648.0	677.721435546875	162942.28125	172769.375	39789.44140625
231	121593208504320.0	1044.641357421875	81413747507200.0	673.3575439453125	110080.75	27368.912109375	126616.0625
232	138538993582080.0	1091.07763671875	102018190409728.0	725.92626953125	37430.55859375	173546.890625	41364.89453125
233	146538932207616.0	1111.6585693359375	75807439454208.0	657.5369262695312	148205.484375	196527.640625	144425.640625
234	160051117424640.0	1144.8402099609375	131506085298176.0	790.0699462890625	15435.404296875	12820.9052734	128701.046875
235	124389475483648.0	1052.5963134765625	84269380665344.0	681.1270141601562	130183.75	175300.8125	72413.4375
236	111531140317184.0	1014.987548828125	77061578293248.0	661.1257934570312	12368.349609375	50141.83984375	83419.2421875
239	113186665660416.0	1019.9635009765625	82404240785408.0	676.05126953125	47848.94921875	50600.671875	148570.09375
240	70644460945408.0	871.672119140625	46604480413696.0	559.0916137695312	58317.0859375	13478.8984375	47452.7890625
241	116610618621952.0	1030.1646728515625	79331938271232.0	667.5438232421875	43541.421875	74768.203125	147094.15625
242	109316430364672.0	1008.2279663085938	72620347228160.0	648.1742553710938	51171.87890625	82008.3046875	35800.38671875
243	117173376778240.0	1031.8023681640625	70867321094144.0	642.9330444335938	140228.03125	48824.69921875	60642.12890625
244	124116803780608.0	1051.82666015625	70613758640128.0	642.1389770507812	119744.015625	35182.4921875	24377.921875
245	116268908675072.0	1029.152099609375	65060311400448.0	624.8433227539062	14300.419921875	175974.6875	116102.828125
247	131623660027904.0	1072.6300048828125	85559582130176.0	684.5991821289062	68785.9140625	12035.8720703	188147.375
248	105788097953792.0	997.2251586914062	74104426201088.0	652.5512084960938	59427.82421875	30588.203125	47762.52734375
249	113038212464640.0	1019.5116577148438	83230644502528.0	678.3192749023438	131892.359375	78334.765625	11086.0751953125
251	119521037778944.0	1038.6282958984375	82641864884224.0	676.7142333984375	114432.4609375	195277.171875	131327.140625
252	118042587561984.0	1034.3892822265625	80524756385792.0	670.8984985351562	183230.015625	31063.70703125	187635.53125
253	123567073132544.0	1050.2398681640625	91768703942656.0	700.7763671875	150113.90625	68647.40625	137688.6875
254	110979648061440.0	1013.3013916015625	72671584845824.0	648.3390502929688	97614.2578125	84686.890625	63568.67578125
255	107881324085248.0	1003.7684936523438	77119199641600.0	661.2893676757812	124027.6171875	79236.4453125	180007.203125
256	125519060271104.0	1055.7176513671875	91740174286848.0	700.6875	173618.6875	30661.70703125	154615.3125
